Rank,Winning Team,Margin,Score,Losing Team,Home/Away (Winner),Date
1,Baltimore Ravens,49,59-10,Miami Dolphins,Away,"Sep 8, 2019"
2,New England Patriots,43,43-0,Miami Dolphins,Away,"Sep 15, 2019"
3,Baltimore Ravens,39,45-6,Los Angeles Rams,Away,"Nov 25, 2019"
4,San Francisco 49ers,38,51-13,Carolina Panthers,Home,"Oct 27, 2019"
5,Baltimore Ravens,36,49-13,Cincinnati Bengals,Away,"Nov 10, 2019"
6,Los Angeles Chargers,35,45-10,Jacksonville Jaguars,Away,"Dec 8, 2019"
7,Baltimore Ravens,34,41-7,Houston Texans,Home,"Nov 17, 2019"
8,New England Patriots,33,33-0,New York Jets,Away,"Oct 21, 2019"
9,New Orleans Saints,32,42-10,Carolina Panthers,Away,"Dec 29, 2019"
10,Indianapolis Colts,32,38-6,Carolina Panthers,Home,"Dec 22, 2019"
